"Assured Lives, Males Investigation 1, Duration 00+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In-Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1947.00,1948.00,1949.00,1950.00,1951.00,1952.00,1953.00,1954.00,1955.00,1956.00,1957.00,1958.00,1959.00,1960.00,1961.00,1962.00,1963.00,1964.00,1965.00,1966.00,1967.00,1968.00,1969.00,1970.00,1971.00,1972.00,1973.00,1974.00,1975.00,1976.00,1977.00,1978.00,1979.00,1980.00,1981.00,1982.00,1983.00,1984.00,1985.00,1986.00,1987.00,1988.00,1989.00,1990.00,1991.00,1992.00,1993.00,1994.00,1995.00,1996.00,1997.00,1998.00,1999.00,2000.00,2001.00,2002.00,2003.00,2004.00,2005.00
11.00,49.50,42.50,27.00,21.00,21.00,22.00,26.50,21.00,15.50,20.00,19.50,19.50,18.00,16.00,16.50,17.00,24.00,28.00,36.00,46.50,40.50,36.50,41.50,52.50,72.00,99.50,140.00,187.00,200.00,224.60,223.30,192.30,164.40,111.30,75.30,79.90,101.50,95.70,121.80,132.10,116.10,101.60,113.00,140.70,146.30,158.80,145.10,134.80,126.00,132.30,131.60,89.50,86.10,87.80,149.00,140.50,129.50,39.00,24.50
12.00,69.00,69.50,61.50,37.00,30.00,32.00,34.00,36.50,33.50,36.50,35.00,37.50,43.50,36.50,32.00,34.50,44.00,54.50,60.00,69.50,80.50,74.50,70.00,87.50,115.50,144.50,189.00,214.00,234.50,247.60,257.80,248.70,236.50,219.10,171.70,137.70,151.30,157.00,167.40,165.70,148.30,133.20,149.10,144.50,138.60,145.10,160.00,162.40,143.60,121.80,133.10,111.80,101.10,89.90,153.60,150.50,142.00,49.50,41.00
13.00,99.00,97.00,92.00,83.00,56.00,47.00,48.00,45.50,49.50,56.00,61.50,57.00,57.50,66.00,67.00,69.50,74.00,85.50,101.50,100.00,108.50,120.50,110.50,127.00,161.50,206.00,259.50,294.50,304.30,332.20,346.00,352.10,377.80,385.20,365.90,319.10,285.10,274.20,301.90,279.90,236.40,223.90,215.40,194.20,203.30,208.10,207.90,203.30,180.40,143.20,140.80,118.90,124.40,104.90,257.10,237.00,215.00,56.50,49.50
14.00,147.00,152.00,133.50,123.50,126.50,100.50,86.50,81.00,73.00,85.50,106.50,111.00,102.50,116.50,126.50,120.00,132.00,140.50,147.50,168.00,164.50,168.50,175.50,195.00,230.00,262.00,317.50,368.00,398.80,428.10,446.00,459.60,504.00,549.20,545.40,507.10,494.60,454.90,480.50,463.10,373.10,354.20,330.90,274.10,275.10,291.10,288.10,265.40,238.90,191.10,163.70,121.30,139.40,142.10,336.40,268.50,239.00,63.50,57.00
15.00,489.50,432.50,401.00,378.00,380.00,392.00,393.00,391.00,373.00,367.00,402.50,463.50,409.50,338.00,405.50,443.50,396.00,366.00,378.00,390.50,376.00,356.50,439.00,545.00,612.00,684.50,647.00,639.00,676.60,702.30,702.70,691.90,742.10,820.30,861.40,847.20,806.20,739.40,777.60,757.90,612.90,560.10,521.70,444.70,426.60,430.30,443.90,399.60,358.00,312.20,266.40,185.20,219.30,203.70,430.90,348.00,291.00,93.50,106.00
16.00,2254.00,2106.50,1762.50,1603.50,1676.00,1773.00,1901.50,2018.50,2038.00,2066.00,2379.50,2868.00,3182.50,3487.50,3957.00,4696.00,4821.50,4182.50,3722.00,3581.00,3556.00,3524.50,3697.50,3935.50,4000.00,4139.00,3798.50,3257.00,3015.30,3010.70,3009.30,2809.50,2593.90,2577.40,2395.20,2038.90,1836.40,1706.20,1716.20,1687.20,1383.90,1304.20,1258.90,1221.90,1163.90,1036.60,997.40,796.60,555.10,486.60,448.00,305.20,352.90,268.40,493.40,405.00,328.00,92.50,89.00
17.00,4180.50,4072.00,3771.50,3292.50,3262.50,3550.00,3710.50,3939.50,4101.50,4156.00,4722.00,5509.50,6167.50,7121.50,8280.50,9021.50,10257.50,11030.00,10536.50,10349.00,10395.00,10283.50,10046.00,10728.50,11195.50,11684.50,12157.50,12316.00,11895.90,11262.00,10883.50,10803.40,10141.50,9628.80,8599.40,6256.10,4898.10,4434.90,4329.50,4130.80,3535.60,3621.70,3768.50,3965.40,3837.90,3277.00,2974.80,2383.90,1539.40,997.70,970.90,710.40,720.90,477.40,598.60,465.50,386.00,104.00,88.00
18.00,6562.00,6308.00,6028.00,5501.00,5178.50,5393.00,5715.00,5970.00,6318.50,6772.50,7760.00,8931.50,9814.00,11373.50,13713.50,15428.50,16284.50,18934.50,21006.50,20044.50,18969.50,18330.00,17663.50,18687.50,19418.00,20340.00,20920.00,21932.00,22696.30,21774.80,20132.70,19563.20,19073.70,17943.70,16593.00,13390.10,10028.00,8563.90,8623.90,8192.70,7138.80,7399.50,7924.90,8503.60,8456.40,7445.90,6053.50,4503.40,3314.90,2060.40,1635.70,1352.70,1340.70,812.00,828.40,530.50,396.00,132.50,96.50
19.00,8388.00,8078.50,7552.00,7090.00,6711.00,6529.50,6691.00,7166.50,7730.50,8514.00,10179.00,12568.50,14241.50,15870.00,19015.50,22704.00,25278.00,26999.50,31662.00,34734.50,32597.00,30220.00,28444.50,29523.50,30303.00,31851.00,32565.00,33261.00,34666.40,34347.40,31977.20,30132.50,29067.00,27863.10,25306.40,21321.20,17688.20,14298.10,13985.60,13571.20,11579.30,11828.20,12278.20,13387.60,13402.70,11903.90,10164.90,7499.90,5525.10,3763.70,2634.20,2001.40,2231.80,1379.60,1232.40,735.00,450.50,143.50,115.50
20.00,10623.50,10377.00,9771.00,9431.00,9025.50,8462.50,8359.00,8647.50,9297.50,10169.50,11585.00,14218.50,17845.50,20859.00,23987.50,28720.50,33981.50,37791.00,39955.00,46478.50,50481.00,46774.00,42634.50,43074.50,43229.50,44490.50,45827.50,46098.00,47170.10,47481.10,44953.30,42416.60,40102.20,37799.50,34935.40,29691.00,25413.70,21591.90,20102.70,18840.50,15922.90,16184.60,16589.10,17769.10,18249.70,16701.80,14399.10,10861.00,8102.30,5616.90,4224.10,2875.90,2897.40,2088.20,1829.60,1080.50,625.00,185.00,138.50
21.00,13867.50,15090.00,15394.00,15014.00,14882.50,14722.00,14279.50,13935.00,14732.50,15977.00,17281.50,19173.00,21524.00,25877.00,30448.50,34693.00,41193.00,48751.50,53795.50,55817.00,64014.00,69318.00,63402.50,61592.00,60531.50,60544.00,60541.00,60906.00,61628.40,61154.30,58275.20,55593.40,52678.90,48907.20,44606.70,38578.40,33275.90,28565.10,27070.20,24412.40,20348.60,20583.40,21078.70,22472.40,22774.20,21669.40,19275.70,14765.40,11242.40,7826.40,6012.20,4372.90,3824.40,2695.40,2540.20,1523.00,868.50,311.00,171.00
22.00,18153.50,21327.00,22300.50,21383.50,20937.50,21029.50,21129.50,20853.00,21034.00,22485.00,24826.50,27409.00,30077.50,33337.50,38591.50,43847.00,49699.00,59321.50,68846.50,73690.00,75290.00,85777.50,91396.50,86832.00,82025.00,80713.00,78418.00,76331.50,77772.20,76984.50,71907.30,68657.60,65616.70,61372.90,55263.40,47742.90,41903.20,35858.20,33443.90,30316.00,24873.60,25079.50,25757.10,27465.50,27297.80,25973.00,23959.20,19066.40,14834.90,10447.70,8143.40,6028.60,5382.20,3556.70,3189.40,2150.00,1220.50,507.50,278.50
23.00,22650.50,26573.00,28060.00,27813.00,27153.50,26679.50,26627.50,27095.50,27202.50,27882.50,30554.50,34186.50,37588.00,41249.00,45632.00,51655.50,57113.00,64042.00,75252.50,85326.00,89684.00,91408.50,103498.50,115082.50,107903.00,102683.50,99022.50,93696.00,92722.20,93241.00,87061.70,81484.40,77928.20,73615.00,67151.70,57432.80,49991.10,43185.60,39568.40,35773.70,29624.00,29390.70,30134.10,32450.20,32124.40,30379.90,28249.20,23448.60,18897.80,13705.60,10761.20,7947.60,7152.30,4950.60,4039.50,2670.50,1660.50,771.00,469.50
24.00,27130.50,31646.00,33168.50,33711.00,33596.00,33388.00,33130.00,33319.50,34423.00,35242.50,36987.50,40836.50,45238.50,49517.00,53833.50,58758.00,65088.00,70486.00,77547.00,89162.50,99339.50,103969.00,104781.00,124876.50,137145.00,129145.50,121650.00,114037.50,109771.20,107707.40,102345.40,96312.10,90592.90,85133.90,78272.40,68150.70,58554.30,49935.40,45835.70,41174.80,34219.10,34567.40,34913.10,37307.90,37270.70,35505.40,32773.80,27692.60,23230.20,17318.90,14042.40,10617.70,9506.80,6472.50,5414.60,3365.50,2040.00,1094.50,692.00
25.00,31934.00,36343.50,37946.00,38686.00,39695.50,39962.50,39762.50,39991.00,41004.50,42785.50,44520.50,47081.50,51529.50,56529.50,61362.00,66712.50,72471.50,79080.50,83512.00,89109.00,100467.00,111963.00,116150.50,122233.50,143482.50,158475.00,148546.00,136479.50,129525.40,124169.40,115998.90,111182.40,104878.40,97140.00,88944.60,78083.90,68544.50,57490.70,51735.40,46486.50,38483.90,39372.90,40288.20,42405.40,42300.50,40711.70,37883.40,32216.20,27367.70,21259.40,17830.40,13845.60,12533.70,8473.80,6947.40,4556.50,2657.50,1385.00,1019.50
26.00,37888.00,41135.50,42692.00,43634.00,44657.00,45910.00,46123.00,46351.50,47438.50,49122.50,51666.50,53785.00,56545.00,61468.50,67030.00,72506.00,78424.50,85411.00,91898.00,93787.50,97549.00,110015.00,122167.00,132546.50,136956.00,162372.50,178802.50,163314.00,151071.80,142781.40,131529.00,124296.10,119183.10,110765.90,100142.00,87636.80,77447.90,65965.90,58521.60,51770.90,42581.60,43642.00,45456.90,47847.00,47312.50,45593.70,43037.70,37255.20,31593.00,24806.20,21789.40,17444.90,16132.50,10981.10,8839.70,5574.50,3460.00,1725.50,1222.50
27.00,44191.50,47315.50,47246.50,47913.00,49185.00,50587.00,51782.00,52066.00,52853.50,54692.50,57365.50,60375.50,62611.00,65758.00,70925.50,76766.50,82587.50,89601.00,97121.00,101789.50,101075.50,105103.50,118005.50,136980.50,146212.00,152287.50,179382.50,192572.50,176934.60,163666.00,149132.60,139073.70,131768.70,124299.00,112595.70,97625.20,85990.20,73610.00,66399.40,57537.50,46619.90,47129.60,49307.60,52362.60,52413.70,50348.00,47620.30,42130.60,36135.50,28281.30,25156.20,20896.50,19789.40,13652.60,10990.60,6715.00,3836.50,1883.00,1283.00
28.00,43395.00,53861.50,53958.00,52650.00,53256.50,54721.00,56172.00,57540.00,58331.50,59691.00,62475.50,65619.00,68683.00,71091.50,74174.50,79560.00,85882.50,92645.00,100140.50,106481.50,108814.50,107876.50,111507.00,131048.00,149553.50,160269.50,166508.00,191172.50,206484.80,189559.00,169468.20,156554.40,145661.30,136156.30,125606.30,109260.50,95474.50,81279.70,73434.60,64536.00,50968.90,50142.20,52007.60,55383.40,56396.90,55094.10,51860.30,46195.30,40436.00,32070.40,28376.10,23683.60,23303.20,16710.70,13700.10,8338.50,4768.00,2186.00,1480.50
29.00,40512.50,51590.50,60685.00,59679.50,58032.00,58486.50,59851.50,61664.50,63587.00,64823.00,67069.50,70233.50,73320.50,76754.50,79236.50,82310.00,88018.00,95311.50,102840.00,109037.50,112768.50,115485.50,113472.50,122631.00,141868.00,162795.00,174606.50,176573.50,203057.40,218484.80,194503.10,176910.70,163316.20,149763.40,136625.90,121117.20,105934.20,89421.10,80428.60,70721.20,56330.80,53732.30,54347.40,57103.20,58642.50,58282.30,56098.60,50173.20,44032.70,35602.10,31894.70,26192.60,26276.90,19925.90,16935.40,10456.50,6073.00,2856.00,1769.50
30.00,46908.50,47710.00,57566.50,66951.50,65703.00,63462.00,63687.50,65377.50,67771.00,70112.50,72158.00,74737.00,77894.50,81508.50,84970.00,87440.50,90580.00,97165.00,105340.00,111646.00,115309.00,119542.50,121444.50,123896.50,131662.50,153642.00,176668.00,184300.00,186034.80,214782.30,225026.00,202604.70,184107.20,167269.00,150164.90,131749.10,117364.90,99334.10,88734.70,77532.00,61294.50,58321.80,57738.30,58862.30,60575.70,60573.70,58961.30,54076.00,47695.80,38645.70,35375.40,29126.30,29215.30,22703.70,20269.90,12948.00,7789.50,3837.50,2440.50
31.00,56072.00,54673.00,52844.50,62729.50,72797.00,71393.00,68790.00,69151.50,71332.50,74117.00,77132.00,79296.50,81767.50,85372.50,89156.50,92941.50,95505.00,99251.50,106839.50,113648.50,117094.50,121613.50,125382.50,132155.00,133003.50,142499.50,166220.00,185581.50,193510.80,195851.60,219424.20,233352.20,209944.30,188394.50,167847.50,145043.70,127768.40,109862.70,98604.40,85609.30,67342.60,62830.40,62223.00,61665.50,61942.90,62328.90,61292.10,57006.50,51424.90,41850.40,38377.10,32042.10,32422.70,25280.40,23238.20,15593.50,9706.00,4984.00,3251.00
32.00,63702.50,64539.00,59986.00,56963.00,67492.00,78099.00,76407.00,73864.50,74581.50,76917.00,80252.50,83550.00,85715.50,88653.50,92521.00,96683.50,100569.50,103756.00,108241.50,114361.00,118346.50,122436.00,126509.50,135810.00,141230.50,142570.50,152677.00,173396.00,193605.10,201729.10,198505.80,227142.00,240959.60,213821.20,188319.30,161726.40,140608.60,119676.10,108664.70,94648.90,74021.60,68175.20,66692.90,65768.70,64711.40,63655.90,62877.70,59309.30,54309.40,45172.50,41549.90,34353.20,35717.90,28204.20,26112.20,17923.50,11935.00,6428.00,4335.50
33.00,70697.00,72129.50,70106.00,64166.00,60828.00,71905.00,82931.00,81288.50,79013.50,79943.00,83158.50,86708.50,89702.00,92222.50,95410.00,99720.50,104005.00,108457.50,112512.50,115602.00,118400.00,123276.00,127087.50,136369.00,144331.50,150667.00,152520.00,158734.50,179952.70,201416.50,204981.40,205101.30,233907.00,245276.70,213577.90,181357.50,157028.70,132160.90,118668.50,104388.40,81515.60,73940.40,72099.10,69670.50,68438.10,66126.20,63739.50,60640.90,56442.60,47512.60,44763.90,36997.90,38544.60,31177.10,29546.80,20452.00,13963.50,8063.00,5666.50
34.00,77261.50,79074.50,77921.50,74813.00,68228.50,64443.50,75938.00,87885.00,86611.50,84340.50,85973.50,89296.00,92735.00,96136.50,98739.50,102269.00,106681.00,111611.00,116994.50,119686.50,119313.00,123074.00,127578.00,136242.00,144431.50,153482.50,160702.00,158233.50,164245.00,187075.70,204076.90,211075.50,210707.30,237492.70,245074.30,205820.40,176430.70,147858.70,131221.10,114114.40,90038.20,80861.00,77835.40,74339.50,71801.60,69571.40,65988.10,61438.60,57780.10,49347.50,46947.00,39303.10,41508.20,33850.40,32890.70,23218.50,16082.50,9660.50,7233.00
35.00,81693.00,85917.00,85226.50,82990.50,79380.00,71963.50,67711.50,80275.50,93501.00,92388.50,90538.50,92258.50,95399.00,99219.00,102524.50,105403.00,109185.00,114345.50,120308.50,124269.00,123409.50,123779.50,127008.50,136575.00,144446.00,153427.50,163206.50,166500.50,163407.90,170233.10,189377.00,210386.40,216533.80,213581.30,236657.40,236794.40,201011.40,167121.60,147116.20,126369.50,98561.30,88845.60,84863.70,79663.90,76057.60,72546.10,69305.60,63625.10,58638.40,50496.20,48854.40,40946.10,44423.90,36537.60,35963.50,26014.00,18466.50,11261.00,8758.50
36.00,85714.00,90030.00,91887.50,90047.50,87248.50,83290.00,75473.50,71220.00,84887.00,99020.50,98318.00,96258.00,97749.00,101294.00,105273.50,108944.50,111823.00,116149.50,122399.00,127269.50,127640.00,127653.50,127352.00,135132.00,143932.50,152581.00,162542.50,168784.00,171681.80,168644.70,171230.30,194828.40,215706.10,219666.60,213223.60,228258.10,231454.20,190821.40,166165.20,141827.20,108667.60,96737.70,93023.10,86288.10,81107.00,76292.50,71988.90,66722.10,60720.10,50982.70,49903.40,42272.70,46153.20,38967.60,38855.50,28554.00,20823.00,13038.00,10226.00
37.00,91314.50,93564.00,95402.50,96340.50,94312.00,91141.50,86796.00,78976.00,74865.50,89134.00,104824.00,104267.50,101452.50,103078.50,106854.00,111394.50,115085.50,118388.50,123687.50,128923.00,130376.00,131517.00,130842.00,134931.00,141717.00,151614.50,161406.00,167610.50,173463.90,176597.20,169680.20,176398.80,199674.60,218814.60,219422.10,205267.40,223079.50,220327.00,189964.00,160568.70,122190.40,106336.20,100987.70,94028.20,87447.40,81299.20,75666.70,69295.90,63766.70,52548.60,50281.40,42883.20,47594.80,40479.70,41151.70,30675.50,22730.00,14662.50,11874.50
38.00,96389.00,98748.50,98651.00,99615.00,100337.50,97858.00,94507.00,90352.50,82496.50,78224.00,93999.00,110572.50,109542.50,106830.00,108546.50,112532.50,116982.00,121021.50,125375.00,129825.50,131444.00,133623.00,134457.50,138273.50,141272.50,148742.50,159791.00,165637.00,171602.60,178189.60,177294.90,174054.50,180190.80,201934.40,218397.70,212097.20,201802.10,213229.80,219188.70,183669.30,138433.40,119154.50,110850.10,101691.20,94925.60,87213.10,80305.10,72740.50,66303.20,55051.60,51822.00,43173.40,48667.10,41838.70,42895.90,32863.50,24841.50,16155.50,13482.50
